;"Activity type","Duration","From","To","Comment"
"Food","00:22","2019-10-26 20:56","2019-10-26 21:18",
"Me time","02:21","2019-10-26 18:34","2019-10-26 20:56",
"Food","00:30","2019-10-26 18:04","2019-10-26 18:34",
"Social / family","00:26","2019-10-26 17:37","2019-10-26 18:04",
"Sport","03:21","2019-10-26 14:15","2019-10-26 17:37",
"Social / family","00:57","2019-10-26 13:17","2019-10-26 14:15",
"Transport","00:25","2019-10-26 12:39","2019-10-26 13:05",
"Productivity ","00:19","2019-10-26 12:20","2019-10-26 12:39",
"Food","00:16","2019-10-26 12:04","2019-10-26 12:20",
"Transport","00:35","2019-10-26 11:27","2019-10-26 12:03",
"Class","01:36","2019-10-26 09:50","2019-10-26 11:27",
"Transport","00:25","2019-10-26 09:25","2019-10-26 09:50",
"Routine","00:43","2019-10-26 08:38","2019-10-26 09:21",
"Sleep","08:26","2019-10-26 00:11","2019-10-26 08:38",
"Non-class learning/prod","00:02","2019-10-26 00:08","2019-10-26 00:11",
"Routine","00:15","2019-10-25 23:52","2019-10-26 00:08",
"Conscious entertainment ","00:21","2019-10-25 23:31","2019-10-25 23:52",
"Food","00:23","2019-10-25 23:07","2019-10-25 23:31",
"Transport","00:43","2019-10-25 22:23","2019-10-25 23:07",
"Sport","01:28","2019-10-25 20:54","2019-10-25 22:23",
"Transport","00:15","2019-10-25 20:30","2019-10-25 20:45",""
"Food","00:53","2019-10-25 19:37","2019-10-25 20:30",""
"Default actions","05:59","2019-10-25 13:37","2019-10-25 19:37",""
"Sleep","11:37","2019-10-25 02:00","2019-10-25 13:37",
"Conscious entertainment ","02:50","2019-10-24 22:19","2019-10-25 01:10",
"Social / family","02:38","2019-10-24 19:40","2019-10-24 22:19",
"Transport","00:32","2019-10-24 19:07","2019-10-24 19:40",
"Class","01:24","2019-10-24 17:43","2019-10-24 19:07",
"Study","01:26","2019-10-24 16:16","2019-10-24 17:43",
"Work Orphic","00:24","2019-10-24 15:51","2019-10-24 16:16",
"Study","00:34","2019-10-24 15:17","2019-10-24 15:51",
"Food","00:36","2019-10-24 14:40","2019-10-24 15:16",
"Transport","00:05","2019-10-24 14:34","2019-10-24 14:40",
"Class","01:18","2019-10-24 13:16","2019-10-24 14:34",
"Study","00:16","2019-10-24 13:00","2019-10-24 13:16",
"Conscious entertainment ","00:00","2019-10-24 13:00","2019-10-24 13:00",
"Transport","00:10","2019-10-24 12:49","2019-10-24 13:00",
"Study","00:53","2019-10-24 11:55","2019-10-24 12:49",
"Transport","00:37","2019-10-24 11:18","2019-10-24 11:55",
"Default actions","06:23","2019-10-23 19:37","2019-10-24 02:00",""
"Food","01:16","2019-10-23 18:43","2019-10-23 19:59",
"Transport","00:41","2019-10-23 18:01","2019-10-23 18:43",
"Sport","01:39","2019-10-23 16:22","2019-10-23 18:01",
"Productivity ","00:25","2019-10-23 15:56","2019-10-23 16:22",
"Transport","00:32","2019-10-23 15:24","2019-10-23 15:56",
"Productivity ","00:29","2019-10-23 15:16","2019-10-23 15:45",
"Conscious entertainment ","00:46","2019-10-23 14:14","2019-10-23 15:00",
"Work CAIJ corpo","02:03","2019-10-23 12:10","2019-10-23 14:14",
"Food","00:34","2019-10-23 11:14","2019-10-23 11:48",
"Transport","00:19","2019-10-23 10:55","2019-10-23 11:14",
"Transport","00:04","2019-10-23 10:50","2019-10-23 10:55",
"Routine","00:19","2019-10-23 10:31","2019-10-23 10:50",
"Sleep","10:31","2019-10-23 00:00","2019-10-23 10:31",
"Routine","00:05","2019-10-22 23:55","2019-10-23 00:00",
"Productivity ","00:01","2019-10-22 23:53","2019-10-22 23:55",
"Work Orphic","00:46","2019-10-22 23:07","2019-10-22 23:53",
"Work Orphic","00:03","2019-10-22 22:48","2019-10-22 22:52",
"Food","00:18","2019-10-22 22:48","2019-10-22 23:07",
"Transport","00:20","2019-10-22 22:28","2019-10-22 22:48",
"Sport","00:00","2019-10-22 22:28","2019-10-22 22:28",
"Social / family","01:50","2019-10-22 20:37","2019-10-22 22:28",
"Transport","00:34","2019-10-22 19:56","2019-10-22 20:30",
"Study","02:46","2019-10-22 17:09","2019-10-22 19:56",
"Transport","00:52","2019-10-22 16:17","2019-10-22 17:09",
"Default actions","00:15","2019-10-22 16:01","2019-10-22 16:17",
"Food","00:36","2019-10-22 15:18","2019-10-22 15:55",
"Work CAIJ corpo","00:53","2019-10-22 14:15","2019-10-22 15:08",
"Default actions","00:28","2019-10-22 13:47","2019-10-22 14:15",
"Work CAIJ corpo","03:40","2019-10-22 09:57","2019-10-22 13:37",
"Food","00:22","2019-10-22 09:34","2019-10-22 09:57",
"Work CAIJ corpo","00:12","2019-10-22 09:22","2019-10-22 09:34",
"Sport","00:52","2019-10-22 08:26","2019-10-22 09:18",
"Transport","00:29","2019-10-22 07:56","2019-10-22 08:26",
"Food","00:11","2019-10-22 07:45","2019-10-22 07:56",
"Routine","00:21","2019-10-22 07:23","2019-10-22 07:45",
"Sleep","08:20","2019-10-21 23:03","2019-10-22 07:23",
"Routine","00:14","2019-10-21 22:49","2019-10-21 23:03",
"Conscious entertainment ","00:28","2019-10-21 22:20","2019-10-21 22:49",
"Non-class learning/prod","00:46","2019-10-21 21:34","2019-10-21 22:20",
"Social / family","01:00","2019-10-21 20:33","2019-10-21 21:34",
"Food","00:19","2019-10-21 20:14","2019-10-21 20:33",
"Social / family","00:26","2019-10-21 19:47","2019-10-21 20:14",
"Transport","00:15","2019-10-21 19:30","2019-10-21 19:45",""
"Social / family","00:10","2019-10-21 19:19","2019-10-21 19:30",""
"Non-class learning/prod","00:49","2019-10-21 18:28","2019-10-21 19:18",
"Social / family","00:03","2019-10-21 18:25","2019-10-21 18:28",
"Work CAIJ corpo","00:47","2019-10-21 17:37","2019-10-21 18:25",
"Productivity ","00:37","2019-10-21 17:00","2019-10-21 17:37",
"Conscious entertainment ","01:15","2019-10-21 15:44","2019-10-21 17:00",
"Work CAIJ corpo","01:55","2019-10-21 13:48","2019-10-21 15:44",
"Default actions","00:24","2019-10-21 13:24","2019-10-21 13:48",
"Food","00:28","2019-10-21 12:55","2019-10-21 13:24",
"Me time","00:49","2019-10-21 12:05","2019-10-21 12:55",
"Work CAIJ corpo","00:11","2019-10-21 11:54","2019-10-21 12:05",
"Food","00:10","2019-10-21 11:43","2019-10-21 11:53",
"Work CAIJ corpo","01:55","2019-10-21 09:47","2019-10-21 11:43",
"Transport","00:12","2019-10-21 09:35","2019-10-21 09:47",
"Productivity ","00:41","2019-10-21 08:54","2019-10-21 09:35",
"Transport","00:23","2019-10-21 08:30","2019-10-21 08:54",
"Sport","00:56","2019-10-21 07:34","2019-10-21 08:30",
"Transport","00:05","2019-10-21 07:28","2019-10-21 07:34",
"Non-class learning/prod","00:18","2019-10-21 07:10","2019-10-21 07:28",
"Food","00:26","2019-10-21 06:43","2019-10-21 07:09",
"Routine","00:22","2019-10-21 06:21","2019-10-21 06:43",
"Sleep","06:33","2019-10-20 23:47","2019-10-21 06:21",
"Routine","00:13","2019-10-20 23:33","2019-10-20 23:47",
"Social / family","01:41","2019-10-20 21:52","2019-10-20 23:33",
"Transport","00:27","2019-10-20 21:24","2019-10-20 21:52",
"Productivity ","00:15","2019-10-20 21:09","2019-10-20 21:24",
"Conscious entertainment ","00:27","2019-10-20 20:41","2019-10-20 21:08",
"Me time","00:00","2019-10-20 20:41","2019-10-20 20:41",
"Food","00:18","2019-10-20 20:22","2019-10-20 20:41",
"Conscious entertainment ","00:35","2019-10-20 19:46","2019-10-20 20:22",
"Social / family","00:17","2019-10-20 19:29","2019-10-20 19:46",
"Transport","00:42","2019-10-20 18:47","2019-10-20 19:29",
"Class","01:17","2019-10-20 17:29","2019-10-20 18:47",
"Study","00:49","2019-10-20 16:39","2019-10-20 17:29",
"Transport","00:40","2019-10-20 15:59","2019-10-20 16:39",
"Conscious entertainment ","01:31","2019-10-20 14:27","2019-10-20 15:59",
"Study","00:45","2019-10-20 13:41","2019-10-20 14:27",
"Me time","00:39","2019-10-20 13:02","2019-10-20 13:41",
"Study","00:38","2019-10-20 12:22","2019-10-20 13:01",
"Food","00:17","2019-10-20 12:05","2019-10-20 12:22",
"Routine","00:17","2019-10-20 11:47","2019-10-20 12:05",
"Sleep","11:00","2019-10-20 00:30","2019-10-20 11:30",""
"Conscious entertainment ","00:36","2019-10-19 23:53","2019-10-20 00:30",""
"Social / family","01:33","2019-10-19 22:20","2019-10-19 23:53",
"Transport","00:26","2019-10-19 21:53","2019-10-19 22:20",
"Me time","01:36","2019-10-19 20:17","2019-10-19 21:53",
"Food","00:33","2019-10-19 19:39","2019-10-19 20:12",
"Study","00:53","2019-10-19 18:45","2019-10-19 19:39",
"Default actions","01:10","2019-10-19 17:35","2019-10-19 18:45",""
"Food","00:35","2019-10-19 16:59","2019-10-19 17:35",""
"Study","01:31","2019-10-19 15:27","2019-10-19 16:59",
"Work Orphic","00:05","2019-10-19 15:22","2019-10-19 15:27",
"Conscious entertainment ","01:41","2019-10-19 13:28","2019-10-19 15:09",
"Food","00:16","2019-10-19 13:11","2019-10-19 13:28",
"Routine","00:17","2019-10-19 12:53","2019-10-19 13:11",
"Sleep","10:20","2019-10-19 02:33","2019-10-19 12:53",
"Routine","00:37","2019-10-19 01:44","2019-10-19 02:22",
"Food","00:30","2019-10-19 01:13","2019-10-19 01:44",
"Conscious entertainment ","03:25","2019-10-18 21:47","2019-10-19 01:13",
"Work Orphic","00:30","2019-10-18 21:17","2019-10-18 21:47",
"Study","01:08","2019-10-18 20:08","2019-10-18 21:17",
"Food","00:41","2019-10-18 19:27","2019-10-18 20:08",
"Transport","00:43","2019-10-18 18:44","2019-10-18 19:27",
"Sport","01:47","2019-10-18 16:56","2019-10-18 18:44",
"Social / family","00:30","2019-10-18 16:25","2019-10-18 16:55",""
"Transport","00:14","2019-10-18 16:10","2019-10-18 16:25",""
"Productivity ","00:18","2019-10-18 15:51","2019-10-18 16:10",
"Transport","00:04","2019-10-18 15:47","2019-10-18 15:51",
"Social / family","00:17","2019-10-18 15:29","2019-10-18 15:47",
"Non-class learning/prod","00:12","2019-10-18 15:17","2019-10-18 15:29",
"Study","01:47","2019-10-18 13:30","2019-10-18 15:17",
"Productivity ","00:10","2019-10-18 13:19","2019-10-18 13:30",
"Food","00:30","2019-10-18 12:48","2019-10-18 13:19",
"Study","01:12","2019-10-18 11:35","2019-10-18 12:48",
"Productivity ","00:56","2019-10-18 10:38","2019-10-18 11:35",
"Routine","00:24","2019-10-18 10:13","2019-10-18 10:38",
"Sleep","09:23","2019-10-18 00:50","2019-10-18 10:13",
"Routine","00:46","2019-10-18 00:04","2019-10-18 00:50",
"Social / family","00:12","2019-10-17 23:52","2019-10-18 00:04",
"Food","00:21","2019-10-17 23:30","2019-10-17 23:52",
"Transport","00:18","2019-10-17 23:12","2019-10-17 23:30",
"Sport","00:50","2019-10-17 22:14","2019-10-17 23:04",
"Social / family","02:23","2019-10-17 19:51","2019-10-17 22:14",
"Study","00:38","2019-10-17 19:12","2019-10-17 19:51",
"Productivity ","00:41","2019-10-17 18:31","2019-10-17 19:12",
"Transport","00:53","2019-10-17 17:37","2019-10-17 18:31",
"Productivity ","01:25","2019-10-17 16:11","2019-10-17 17:37",
"Study","00:15","2019-10-17 15:56","2019-10-17 16:11",
"Work Orphic","00:23","2019-10-17 15:33","2019-10-17 15:56",
"Conscious entertainment ","01:44","2019-10-17 13:44","2019-10-17 15:28",
"Productivity ","00:09","2019-10-17 13:34","2019-10-17 13:44",
"Me time","00:08","2019-10-17 13:25","2019-10-17 13:34",
"Transport","00:36","2019-10-17 12:48","2019-10-17 13:25",
"Non-class learning/prod","01:26","2019-10-17 11:22","2019-10-17 12:48",
"Transport","01:14","2019-10-17 10:07","2019-10-17 11:21",
"Routine","00:23","2019-10-17 09:43","2019-10-17 10:07",
"Sleep","10:54","2019-10-16 22:49","2019-10-17 09:43",
"Routine","00:16","2019-10-16 22:32","2019-10-16 22:49",
"Social / family","00:51","2019-10-16 21:40","2019-10-16 22:32",
"Food","00:45","2019-10-16 20:55","2019-10-16 21:40",
"Transport","00:42","2019-10-16 20:13","2019-10-16 20:55",
"Sport","01:54","2019-10-16 18:18","2019-10-16 20:13",
"Food","00:06","2019-10-16 18:12","2019-10-16 18:18",
"Transport","00:40","2019-10-16 17:31","2019-10-16 18:12",
"Class","01:56","2019-10-16 15:34","2019-10-16 17:31",
"Study","00:35","2019-10-16 14:59","2019-10-16 15:34",
"Study","00:00","2019-10-16 14:19","2019-10-16 14:19",
"Transport","00:43","2019-10-16 14:16","2019-10-16 14:59",
"Productivity ","00:11","2019-10-16 14:04","2019-10-16 14:16",
"Me time","02:15","2019-10-16 11:48","2019-10-16 14:04",
"Non-class learning/prod","00:49","2019-10-16 10:58","2019-10-16 11:48",
"Work CAIJ corpo","00:45","2019-10-16 10:13","2019-10-16 10:58",
"Food","00:50","2019-10-16 09:20","2019-10-16 10:10",""
"Transport","00:27","2019-10-16 08:52","2019-10-16 09:20",""
"Routine","00:24","2019-10-16 08:28","2019-10-16 08:52",
"Sleep","07:32","2019-10-16 00:55","2019-10-16 08:28",
"Non-class learning/prod","01:42","2019-10-15 22:34","2019-10-16 00:16",
"Sleep","00:06","2019-10-15 22:27","2019-10-15 22:34",
"Routine","00:17","2019-10-15 22:09","2019-10-15 22:27",
"Study","00:07","2019-10-15 22:02","2019-10-15 22:09",
"Social / family","00:00","2019-10-15 22:02","2019-10-15 22:02",
"Social / family","02:05","2019-10-15 19:56","2019-10-15 22:01",
"Transport","00:18","2019-10-15 19:37","2019-10-15 19:56",
"Sport","00:30","2019-10-15 19:07","2019-10-15 19:37",
"Productivity ","00:06","2019-10-15 19:00","2019-10-15 19:07",
"Transport","00:20","2019-10-15 18:39","2019-10-15 19:00",
"Non-class learning/prod","00:10","2019-10-15 18:28","2019-10-15 18:39",
"Default actions","00:59","2019-10-15 17:31","2019-10-15 18:31",""
"Food","00:43","2019-10-15 16:48","2019-10-15 17:31",
"Transport","00:06","2019-10-15 16:41","2019-10-15 16:48",
"Study","01:35","2019-10-15 15:06","2019-10-15 16:41",
"Transport","00:11","2019-10-15 14:54","2019-10-15 15:06",
"Routine","00:21","2019-10-15 14:32","2019-10-15 14:54",
"Work CAIJ corpo","00:42","2019-10-15 13:50","2019-10-15 14:32",
"Routine","00:06","2019-10-15 13:43","2019-10-15 13:50",
"Sleep","12:07","2019-10-15 01:35","2019-10-15 13:43",
"Food","00:15","2019-10-15 00:31","2019-10-15 00:46",
"Routine","00:01","2019-10-15 00:22","2019-10-15 00:23",
"Conscious entertainment ","01:44","2019-10-14 22:37","2019-10-15 00:22",
"Study","00:53","2019-10-14 21:43","2019-10-14 22:37",
"Conscious entertainment ","01:21","2019-10-14 20:22","2019-10-14 21:43",
"Work CAIJ corpo","00:42","2019-10-14 19:36","2019-10-14 20:18",
"Food","00:20","2019-10-14 19:00","2019-10-14 19:20",""
"Social / family","00:39","2019-10-14 18:20","2019-10-14 19:00",""
"Study","00:08","2019-10-14 18:12","2019-10-14 18:20",
"Social / family","00:13","2019-10-14 17:58","2019-10-14 18:12",
"Transport","00:48","2019-10-14 17:09","2019-10-14 17:57",
"Food","00:07","2019-10-14 17:02","2019-10-14 17:09",
"Sport","03:12","2019-10-14 13:50","2019-10-14 17:02",
"Study","00:13","2019-10-14 13:36","2019-10-14 13:49",
"Social / family","00:45","2019-10-14 12:51","2019-10-14 13:36",
"Transport","00:27","2019-10-14 12:23","2019-10-14 12:51",
"Study","01:24","2019-10-14 10:58","2019-10-14 12:23",
"Productivity ","00:10","2019-10-14 10:48","2019-10-14 10:58",
"Transport","00:15","2019-10-14 10:33","2019-10-14 10:48",
"Routine","00:24","2019-10-14 10:08","2019-10-14 10:33",
"Sleep","09:27","2019-10-14 00:41","2019-10-14 10:08",
"Me time","00:43","2019-10-13 23:58","2019-10-14 00:41",
"Work Orphic","01:02","2019-10-13 22:55","2019-10-13 23:58",
"Social / family","04:30","2019-10-13 18:15","2019-10-13 22:45",""
"Transport","00:45","2019-10-13 17:29","2019-10-13 18:15",""
"Productivity ","00:16","2019-10-13 17:12","2019-10-13 17:29",
"Default actions","00:55","2019-10-13 16:16","2019-10-13 17:12",
"Conscious entertainment ","00:00","2019-10-13 16:16","2019-10-13 16:16",
"Productivity ","00:47","2019-10-13 15:29","2019-10-13 16:16",
"Conscious entertainment ","00:44","2019-10-13 14:45","2019-10-13 15:29",""
"Productivity ","00:56","2019-10-13 13:48","2019-10-13 14:45",""
"Food","00:35","2019-10-13 13:12","2019-10-13 13:48",
"Routine","00:11","2019-10-13 13:01","2019-10-13 13:12",
"Sleep","10:19","2019-10-13 02:15","2019-10-13 12:34",
"Routine","00:41","2019-10-13 01:33","2019-10-13 02:15",
"Conscious entertainment ","03:24","2019-10-12 22:09","2019-10-13 01:33",
"Food","00:13","2019-10-12 21:55","2019-10-12 22:09",
"Transport","00:30","2019-10-12 21:24","2019-10-12 21:55",
"Social / family","03:20","2019-10-12 18:04","2019-10-12 21:24",
"Sport","00:30","2019-10-12 17:30","2019-10-12 18:00",""
"Transport","00:31","2019-10-12 16:58","2019-10-12 17:30",""
"Productivity ","00:03","2019-10-12 16:55","2019-10-12 16:58",
"Food","00:23","2019-10-12 16:32","2019-10-12 16:55",
"Productivity ","00:01","2019-10-12 16:30","2019-10-12 16:32",
"Transport","00:20","2019-10-12 16:09","2019-10-12 16:30",""
"Study","02:25","2019-10-12 13:43","2019-10-12 16:09",
"Conscious entertainment ","00:55","2019-10-12 12:48","2019-10-12 13:43",
"Productivity ","00:24","2019-10-12 12:24","2019-10-12 12:48",
"Food","00:28","2019-10-12 11:55","2019-10-12 12:23",
"Routine","00:08","2019-10-12 11:46","2019-10-12 11:55",
"Sleep","09:48","2019-10-12 01:45","2019-10-12 11:33",
"Routine","00:58","2019-10-12 00:46","2019-10-12 01:44",
"Conscious entertainment ","02:13","2019-10-11 22:33","2019-10-12 00:46",
"Transport","00:37","2019-10-11 21:55","2019-10-11 22:33",
"Social / family","03:14","2019-10-11 18:41","2019-10-11 21:55",
"Transport","00:38","2019-10-11 18:02","2019-10-11 18:41",
"Productivity ","00:13","2019-10-11 17:48","2019-10-11 18:02",
"Study","00:34","2019-10-11 17:13","2019-10-11 17:48",
"Social / family","01:03","2019-10-11 16:10","2019-10-11 17:13",
"Transport","00:32","2019-10-11 15:38","2019-10-11 16:10",
"Productivity ","00:04","2019-10-11 15:33","2019-10-11 15:38",
"Study","03:28","2019-10-11 12:05","2019-10-11 15:33",
"Productivity ","00:40","2019-10-11 11:24","2019-10-11 12:04",
"Food","00:08","2019-10-11 11:16","2019-10-11 11:24",
"Routine","00:16","2019-10-11 10:53","2019-10-11 11:09",
"Sleep","09:11","2019-10-11 01:19","2019-10-11 10:31",
"Routine","00:13","2019-10-11 01:05","2019-10-11 01:19",
"Me time","01:37","2019-10-10 23:27","2019-10-11 01:05",
"Food","00:22","2019-10-10 23:05","2019-10-10 23:27",
"Social / family","03:14","2019-10-10 19:51","2019-10-10 23:05",
"Transport","00:32","2019-10-10 19:18","2019-10-10 19:51",
"Food","00:19","2019-10-10 18:59","2019-10-10 19:18",
"Conscious entertainment ","03:32","2019-10-10 15:26","2019-10-10 18:59",
"Work Orphic","01:14","2019-10-10 14:11","2019-10-10 15:26",
"Study","02:15","2019-10-10 11:56","2019-10-10 14:11",
"Productivity ","01:27","2019-10-10 10:29","2019-10-10 11:56",
"Food","00:20","2019-10-10 10:08","2019-10-10 10:29",
"Productivity ","01:12","2019-10-10 08:56","2019-10-10 10:08",
"Routine","00:16","2019-10-10 08:39","2019-10-10 08:56",
"Sleep","08:35","2019-10-09 23:59","2019-10-10 08:34",
"Routine","00:13","2019-10-09 23:44","2019-10-09 23:58",
"Social / family","03:00","2019-10-09 20:43","2019-10-09 23:44",
"Food","00:55","2019-10-09 19:48","2019-10-09 20:43",
"Study","00:09","2019-10-09 19:39","2019-10-09 19:48",
"Study","00:00","2019-10-09 19:39","2019-10-09 19:39",
"Class","00:00","2019-10-09 18:36","2019-10-09 18:36",
"Productivity ","00:41","2019-10-09 18:36","2019-10-09 19:17",
"Transport","00:34","2019-10-09 18:01","2019-10-09 18:36",
"Productivity ","00:39","2019-10-09 17:21","2019-10-09 18:01",
"Transport","00:34","2019-10-09 16:47","2019-10-09 17:21",
"Class","00:49","2019-10-09 15:57","2019-10-09 16:47",
"Food","00:31","2019-10-09 15:25","2019-10-09 15:57",
"Productivity ","00:55","2019-10-09 14:29","2019-10-09 15:25",
"Class","00:37","2019-10-09 13:52","2019-10-09 14:29",
"Productivity ","00:36","2019-10-09 13:15","2019-10-09 13:52",
"Study","00:47","2019-10-09 12:28","2019-10-09 13:15",
"Transport","00:42","2019-10-09 11:45","2019-10-09 12:27",
"Productivity ","00:29","2019-10-09 11:15","2019-10-09 11:45",
"Transport","00:24","2019-10-09 10:51","2019-10-09 11:15",
"Class","00:21","2019-10-09 10:30","2019-10-09 10:51",
"Transport","00:57","2019-10-09 09:32","2019-10-09 10:30",
"Productivity ","00:30","2019-10-09 09:02","2019-10-09 09:32",
"Study","00:40","2019-10-09 08:21","2019-10-09 09:02",
"Productivity ","00:21","2019-10-09 07:59","2019-10-09 08:21",
"Routine","00:20","2019-10-09 07:38","2019-10-09 07:59",
"Sleep","07:32","2019-10-09 00:06","2019-10-09 07:38",
"Routine","00:11","2019-10-08 23:55","2019-10-09 00:06",
"Study","01:41","2019-10-08 22:14","2019-10-08 23:55",
"Transport","00:16","2019-10-08 21:58","2019-10-08 22:14",
"Social / family","01:32","2019-10-08 20:26","2019-10-08 21:58",
